,runoff,soil_moisture,prism,chirps,persiann,trmm,daymet,modis,gmet_eto,gmet_etr,fldas,terraclimate,p_mean,et_mean,q_in,q_out,res_s,s,ds
1973-10-31,,,,,,,,,,,,,,,,,,5643.855718581217,5643.855718581217
1973-11-30,,,,,,,,,,,,,,,,,,5646.964925762849,
1973-12-31,,,,,,,,,,,,,,,,,,5650.938357286791,
1974-01-31,,,,,,,,,,,,,,,,,,5655.715505135743,
1974-02-28,,,,,,,,,,,,,,,,,,5659.428552882194,
1974-03-31,,,,,,,,,,,,,,,,,,5663.605995772507,
1974-04-30,,,,,,,,,,,,,,,,,,5666.975498356877,
1974-05-31,,,,,,,,,,,,,,,,,,5668.736190919001,
1974-06-30,,,,,,,,,,,,,,,,,,5669.811025099374,
1974-07-31,,,,,,,,,,,,,,,,,,5669.977579710166,
1974-08-31,,,,,,,,,,,,,,,,,,5669.583384179052,
1974-09-30,,,,,,,,,,,,,,,,,,5668.89551081139,
1974-10-31,,,,,,,,,,,,,,,,,,5669.924186472288,
1974-11-30,,,,,,,,,,,,,,,,,,5670.531860273774,
1974-12-31,,,,,,,,,,,,,,,,,,5671.412644215654,
1975-01-31,,,,,,,,,,,,,,,,,,5672.0113933968805,
1975-02-28,,,,,,,,,,,,,,,,,,5673.292144902079,
1975-03-31,,,,,,,,,,,,,,,,,,5674.7323503063435,
1975-04-30,,,,,,,,,,,,,,,,,,5675.0229693502,
1975-05-31,,,,,,,,,,,,,,,,,,5673.707361622065,
1975-06-30,,,,,,,,,,,,,,,,,,5672.52626362716,
1975-07-31,,,,,,,,,,,,,,,,,,5670.7852899885165,
1975-08-31,,,,,,,,,,,,,,,,,,5669.232189544221,
1975-09-30,,,,,,,,,,,,,,,,,,5667.776180491459,
1975-10-31,,,,,,,,,,,,,,,,,,5668.284755600857,
1975-11-30,,,,,,,,,,,,,,,,,,5668.5549904134505,
1975-12-31,,,,,,,,,,,,,,,,,,5669.039814604852,
1976-01-31,,,,,,,,,,,,,,,,,,5669.483314651252,
1976-02-29,,,,,,,,,,,,,,,,,,5670.15339423551,
1976-03-31,,,,,,,,,,,,,,,,,,5670.2782721107815,
1976-04-30,,,,,,,,,,,,,,,,,,5670.209331800587,
1976-05-31,,,,,,,,,,,,,,,,,,5667.82857390552,
1976-06-30,,,,,,,,,,,,,,,,,,5665.903877623812,
1976-07-31,,,,,,,,,,,,,,,,,,5663.490551147904,
1976-08-31,,,,,,,,,,,,,,,,,,5661.369678071304,
1976-09-30,,,,,,,,,,,,,,,,,,5660.235660513027,
1976-10-31,,,,,,,,,,,,,,,,,,5659.923470982243,
1976-11-30,,,,,,,,,,,,,,,,,,5660.194720801027,
1976-12-31,,,,,,,,,,,,,,,,,,5660.529005717567,
1977-01-31,,,,,,,,,,,,,,,,,,5661.1000048459355,
1977-02-28,,,,,,,,,,,,,,,,,,5661.03990968073,
1977-03-31,,,,,,,,,,,,,,,,,,5660.88196166319,
1977-04-30,,,,,,,,,,,,,,,,,,5659.902426713741,
1977-05-31,,,,,,,,,,,,,,,,,,5657.265035368746,
1977-06-30,,,,,,,,,,,,,,,,,,5654.550468978322,
1977-07-31,,,,,,,,,,,,,,,,,,5651.531169716316,
1977-08-31,,,,,,,,,,,,,,,,,,5648.659847078998,
1977-09-30,,,,,,,,,,,,,,,,,,5646.295771642923,
1977-10-31,,,,,,,,,,,,,,,,,,5645.882971423426,
1977-11-30,,,,,,,,,,,,,,,,,,5646.1075716855885,
1977-12-31,,,,,,,,,,,,,,,,,,5647.185537749763,
1978-01-31,,,,,,,,,,,,,,,,,,5649.360996819531,
1978-02-28,,,,,,,,,,,,,,,,,,5652.061693794057,
1978-03-31,,,,,,,,,,,,,,,,,,5655.126782301009,
1978-04-30,,,,,,,,,,,,,,,,,,5657.659957066827,
1978-05-31,,,,,,,,,,,,,,,,,,5658.03620896699,
1978-06-30,,,,,,,,,,,,,,,,,,5657.632429949349,
1978-07-31,,,,,,,,,,,,,,,,,,5656.5737190045675,
1978-08-31,,,,,,,,,,,,,,,,,,5655.737402915471,
1978-09-30,,,,,,,,,,,,,,,,,,5655.076049499144,
1978-10-31,,,,,,,,,,,,,,,,,,5655.496815543339,
1978-11-30,,,,,,,,,,,,,,,,,,5656.299064614133,
1978-12-31,,,,,,,,,,,,,,,,,,5656.979628969447,
1979-01-31,,,,,,,,,,,,,,,,,,5658.340848557113,
1979-02-28,,,,,,,,,,,,,,,,,,5659.807923860484,
1979-03-31,,,,,,,,,,,,,,,,,,5661.291883008823,
1979-04-30,,,,,,,,,,,,,,,,,,5661.640948460158,
1979-05-31,,,,,,,,,,,,,,,,,,5660.675850778916,
1979-06-30,,,,,,,,,,,,,,,,,,5659.665159901924,
1979-07-31,,,,,,,,,,,,,,,,,,5658.341028665432,
1979-08-31,,,,,,,,,,,,,,,,,,5656.936312257988,
1979-09-30,,,,,,,,,,,,,,,,,,5655.528268185099,
1979-10-31,,,,,,,,,,,,,,,,,,5656.112205011646,
1979-11-30,,,,,,,,,,,,,,,,,,5656.761742880745,
1979-12-31,,,,,,,,,,,,,,,,,,5657.571471626484,
1980-01-31,,,,,,,,,,,,,,,,,,5660.0533774807045,
1980-02-29,,,,,,,,,,,,,,,,,,5662.8166051684275,
1980-03-31,,,,,,,,,,,,,,,,,,5665.056023288149,
1980-04-30,,,,,,,,,,,,,,,,,,5666.278267908109,
1980-05-31,,,,,,,,,,,,,,,,,,5665.734336932116,
1980-06-30,,,,,,,,,,,,,,,,,,5664.841368922006,
1980-07-31,,,,,,,,,,,,,,,,,,5663.757502016545,
1980-08-31,,,,,,,,,,,,,,,,,,5662.606399705843,
1980-09-30,,,,,,,,,,,,,,,,,,5661.398380856277,
1980-10-31,,,,,,,,,,,,,,,,,,5661.876947826937,
1980-11-30,,,,,,,,,,,,,,,,,,5662.180080098305,
1980-12-31,,,,,,,,,,,,,,,,,,5662.7284998479545,
1981-01-31,,,,,,,,,,,,,,,,,,5663.912305497698,
1981-02-28,,,,,,,,,,,,,,,,,,5664.686171075628,
1981-03-31,,,,,,,,,,,,,,,,,,5665.8429731014,
1981-04-30,,,,,,,,,,,,,,,,,,5665.917799237827,
1981-05-31,,,,,,,,,,,,,,,,,,5664.172816895724,
1981-06-30,,,,,,,,,,,,,,,,,,5662.823176253336,
1981-07-31,,,,,,,,,,,,,,,,,,5661.190790118861,
1981-08-31,,,,,,,,,,,,,,,,,,5659.445107201242,
1981-09-30,,,,,,,,,,,,,,,,,,5657.771482588091,
1981-10-31,,,,,,,,,,,,,,,,,,5658.291640939845,
1981-11-30,,,,,,,,,,,,,,,,,,5659.471566887497,
1981-12-31,,,,,,,,,,,,,,,,,,5660.667849724171,
1982-01-31,,,,,,,,,,,,,,,,,,5662.332286084546,
1982-02-28,,,,,,,,,,,,,,,,,,5663.873704400241,
1982-03-31,,,,,,,,,,,,,,,,,,5666.0334315357295,
1982-04-30,,,,,,,,,,,,,,,,,,5668.208413494822,
1982-05-31,,,,,,,,,,,,,,,,,,5668.088883769341,
1982-06-30,,,,,,,,,,,,,,,,,,5667.516250118331,
1982-07-31,,,,,,,,,,,,,,,,,,5666.388496706627,
1982-08-31,,,,,,,,,,,,,,,,,,5665.422426315757,
1982-09-30,,,,,,,,,,,,,,,,,,5664.787244630647,
1982-10-31,,,,,,,,,,,,,,,,,,5665.718430256354,
1982-11-30,,,,,,,,,,,,,,,,,,5667.29451179683,
1982-12-31,,,,,,,,,,,,,,,,,,5669.229749581049,
1983-01-31,,,,,,,,,,,,,,,,,,5671.593813815167,
1983-02-28,,,,,,,,,,,,,,,,,,5674.356875912631,
1983-03-31,,,,,,,,,,,,,,,,,,5677.752416925254,
1983-04-30,,,,,,,,,,,,,,,,,,5679.8285003085875,
1983-05-31,,,,,,,,,,,,,,,,,,5680.10141480826,
1983-06-30,,,,,,,,,,,,,,,,,,5679.798316912521,
1983-07-31,,,,,,,,,,,,,,,,,,5678.809607786573,
1983-08-31,,,,,,,,,,,,,,,,,,5677.816219484411,
1983-09-30,,,,,,,,,,,,,,,,,,5677.2296700240695,
1983-10-31,,,,,,,,,,,,,,,,,,5677.922175808369,
1983-11-30,,,,,,,,,,,,,,,,,,5679.216917289075,
